Company Name,Location,Datum,Status Rocket,Cost,Status Mission,Country,Year,Rocket,Satellite
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Mon Oct 17, 2016 23:45 UTC",StatusRetired,85.0 ,Success,USA,2016,Antares 230,CRS OA-5
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Sun Oct 16, 2016 23:30 UTC",StatusActive,,Success,China,2016,Long March 2F/G,Shenzhou 11
Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Thu Oct 06, 2016 15:36 UTC",StatusActive,,Success,USA,2016,New Shepard,NS-6 (Inflight Escape Test)
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Oct 05, 2016 20:30 UTC",StatusActive,200.0 ,Success,France,2016,Ariane 5 ECA,"Sky Muster II, GSAT-18"
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Sep 26, 2016 03:42 UTC",StatusRetired,25.0 ,Success,India,2016,PSLV-G,ScatSat-1 & Rideshares
Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Fri Sep 16, 2016 01:43 UTC",StatusActive,37.0 ,Success,France,2016,Vega,PeruSat-1 and SkySats 4-7
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Thu Sep 15, 2016 14:04 UTC",StatusActive,,Success,China,2016,Long March 2F/T,Tiangong-2
IAI,"Pad 1, Palmachim Airbase, Israel","Tue Sep 13, 2016 14:30 UTC",StatusActive,,Success,Israel,2016,Shavit-2,Ofek-11
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Sep 08, 2016 23:05 UTC",StatusActive,115.0 ,Success,USA,2016,Atlas V 411,OSIRIS-REx
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Sep 08, 2016 11:20 UTC",StatusActive,47.0 ,Success,India,2016,GSLV Mk II,INSAT-3DR
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Sep 01, 2016 13:07 UTC",StatusRetired,62.0 ,Prelaunch Failure,USA,2016,Falcon 9 Block 3,AMOS-6
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Aug 31, 2016 18:50 UTC",StatusActive,64.68 ,Failure,China,2016,Long March 4C,Gaofen-10
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Aug 24, 2016 22:16 UTC",StatusActive,200.0 ,Success,France,2016,Ariane 5 ECA,"Intelsat 33e, Intelsat 36"
ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Fri Aug 19, 2016 04:52 UTC",StatusRetired,164.0 ,Success,USA,2016,"Delta IV Medium+ (4,2)",AFSPC-6
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Aug 15, 2016 17:40 UTC",StatusActive,29.75 ,Success,China,2016,Long March 2D,"QUESS, Lixing-1, & 3CAT 2"
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sun Aug 14, 2016 05:26 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,JCSAT-16
CASC,"LC-9, Taiyuan Satellite Launch Center, China","Tue Aug 09, 2016 22:55 UTC",StatusActive,64.68 ,Success,China,2016,Long March 4C,Gaofen-3
CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Aug 05, 2016 16:22 UTC",StatusActive,29.15 ,Success,China,2016,Long March 3B/E,Tiantong-1 01
ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Jul 28, 2016 12:37 UTC",StatusActive,123.0 ,Success,USA,2016,Atlas V 421,NROL-61
SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Jul 18, 2016 04:45 UTC",StatusRetired,62.0 ,Success,USA,2016,Falcon 9 Block 3,CRS-9
